user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,80,43,0.06510416666666667,1.0645833333333334
False,piano,80,50,0.0953125,1.0286458333333333
True,piano,80,71,0.125,0.5994791666666667
False,piano,80,59,0.125,0.9921875
True,piano,80,71,0.625,0.8619791666666666
True,piano,80,78,0.875,1.1119791666666667
False,piano,80,45,0.9953125,1.9947916666666667
False,piano,80,52,1.0671875,2.0005208333333333
True,piano,80,76,1.125,1.3619791666666667
False,piano,80,61,1.125,1.9921875
True,piano,80,74,1.375,1.6119791666666667
True,piano,80,73,1.625,1.8619791666666667
True,piano,80,74,1.875,2.1119791666666665
False,piano,80,46,1.9953125,2.9947916666666665
False,piano,80,54,2.0671875,3.0005208333333333
True,piano,80,76,2.125,2.599479166666667
False,piano,80,61,2.125,2.9921875
True,piano,80,78,2.625,2.980729166666667
True,piano,80,73,3.0,3.1182291666666666
True,piano,96,62,3.125,3.4994791666666667
True,piano,96,74,3.125,3.4994791666666667
False,piano,96,47,3.125,3.4994791666666667
False,piano,96,54,3.125,3.4994791666666667
False,piano,96,59,3.125,3.4994791666666667
True,piano,112,86,3.625,3.7036458333333333
True,piano,112,83,3.7083333333333335,3.786979166666667
True,piano,112,81,3.7916666666666665,3.8703125
True,piano,112,83,3.875,3.9536458333333333
True,piano,112,81,3.9583333333333335,4.036979166666667
True,piano,112,78,4.041666666666667,4.1203125
True,piano,112,81,4.125,4.203645833333334
False,piano,112,31,4.125,4.361979166666667
False,piano,112,43,4.125,4.361979166666667
True,piano,112,78,4.208333333333333,4.286979166666667
True,piano,112,76,4.291666666666667,4.3703125
True,piano,112,78,4.375,4.453645833333334
False,piano,112,50,4.375,4.586979166666667
False,piano,112,55,4.375,4.586979166666667
False,piano,112,59,4.375,4.586979166666667
True,piano,112,76,4.458333333333333,4.536979166666667
True,piano,112,74,4.541666666666667,4.6203125
True,piano,112,76,4.625,4.703645833333334
False,piano,112,31,4.625,4.861979166666667
False,piano,112,43,4.625,4.861979166666667
True,piano,112,74,4.708333333333333,4.786979166666667
True,piano,112,71,4.791666666666667,4.8703125
True,piano,112,69,4.875,4.953645833333334
False,piano,112,50,4.875,5.086979166666667
False,piano,112,55,4.875,5.086979166666667
False,piano,112,59,4.875,5.086979166666667
True,piano,112,71,4.958333333333333,5.036979166666667
True,piano,112,69,5.041666666666667,5.1203125
True,piano,112,71,5.125,5.243229166666667
False,piano,112,33,5.125,5.361979166666667
False,piano,112,45,5.125,5.361979166666667
True,piano,112,69,5.25,5.368229166666667
True,piano,112,66,5.375,5.493229166666667
False,piano,112,52,5.375,5.586979166666667
False,piano,112,57,5.375,5.586979166666667
False,piano,112,61,5.375,5.586979166666667
True,piano,112,64,5.5,5.618229166666667
True,piano,112,66,5.625,5.743229166666667
False,piano,112,33,5.625,5.861979166666667
False,piano,112,45,5.625,5.861979166666667
True,piano,112,62,5.75,5.868229166666667
True,piano,112,64,5.875,5.993229166666667
False,piano,112,52,5.875,6.086979166666667
False,piano,112,57,5.875,6.086979166666667
False,piano,112,61,5.875,6.086979166666667
True,piano,112,59,6.0,6.118229166666667
True,piano,112,71,6.125,6.361979166666667
False,piano,112,30,6.125,6.361979166666667
False,piano,112,42,6.125,6.361979166666667
True,piano,112,78,6.375,6.5328125
False,piano,112,54,6.375,6.574479166666666
False,piano,112,58,6.375,6.574479166666666
False,piano,112,61,6.375,6.574479166666666
True,piano,112,76,6.541666666666667,6.6203125
True,piano,112,66,6.625,6.743229166666667
True,piano,112,78,6.625,6.743229166666667
False,piano,112,34,6.625,6.861979166666667
False,piano,112,46,6.625,6.861979166666667
True,piano,112,78,6.75,6.868229166666667
True,piano,112,71,6.875,6.993229166666667
True,piano,112,83,6.875,6.993229166666667
False,piano,112,54,6.875,7.074479166666666
False,piano,112,58,6.875,7.074479166666666
False,piano,112,61,6.875,7.074479166666666
True,piano,112,83,7.0,7.118229166666667
True,piano,112,73,7.125,7.243229166666667
True,piano,112,85,7.125,7.243229166666667
False,piano,112,35,7.125,7.361979166666667
False,piano,112,47,7.125,7.361979166666667
True,piano,112,78,7.25,7.368229166666667
True,piano,112,85,7.375,7.493229166666667
False,piano,112,54,7.375,7.574479166666666
False,piano,112,59,7.375,7.574479166666666
False,piano,112,62,7.375,7.574479166666666
True,piano,112,74,7.5,8.033854166666666
True,piano,112,86,7.5,8.033854166666666
False,piano,112,35,7.625,7.861979166666667
False,piano,112,47,7.625,7.861979166666667
False,piano,112,54,7.875,8.074479166666666
False,piano,112,59,7.875,8.074479166666666
False,piano,112,62,7.875,8.074479166666666
True,piano,112,89,8.0625,8.121354166666666
True,piano,112,78,8.125,8.361979166666666
True,piano,112,90,8.125,8.361979166666666
False,piano,112,31,8.125,8.361979166666666
False,piano,112,43,8.125,8.361979166666666
True,piano,112,78,8.375,8.611979166666666
True,piano,112,90,8.375,8.611979166666666
False,piano,112,55,8.375,8.586979166666667
False,piano,112,59,8.375,8.586979166666667
False,piano,112,62,8.375,8.586979166666667
True,piano,112,76,8.625,8.743229166666667
