user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,50,79,0.0,0.0675675
False,piano,50,91,0.0,0.0675675
False,piano,50,55,0.0,0.0675675
True,piano,50,31,0.0,0.135135
False,piano,50,59,0.0675675,0.135135
False,piano,50,62,0.135135,0.2027025
True,piano,50,43,0.135135,0.27027
False,piano,50,66,0.2027025,0.27027
False,piano,50,67,0.27027,0.3378375
True,piano,50,31,0.27027,0.405405
False,piano,50,62,0.3378375,0.405405
False,piano,50,59,0.405405,0.4729725
True,piano,50,43,0.405405,0.54054
False,piano,50,54,0.4729725,0.54054
False,piano,50,55,0.54054,0.6081075
True,piano,50,31,0.54054,0.675675
False,piano,50,59,0.6081075,0.675675
False,piano,50,62,0.675675,0.7432425
True,piano,50,43,0.675675,0.81081
False,piano,50,66,0.7432425,0.81081
False,piano,50,67,0.81081,0.8783775
True,piano,50,31,0.81081,0.945945
False,piano,50,62,0.8783775,0.945945
False,piano,50,59,0.945945,1.0135125
True,piano,50,43,0.945945,1.08108
False,piano,50,54,1.0135125,1.08108
False,piano,50,55,1.08108,1.1486475
True,piano,50,31,1.08108,1.216215
False,piano,50,59,1.1486475,1.216215
False,piano,50,62,1.216215,1.2837825
True,piano,50,43,1.216215,1.35135
False,piano,50,66,1.2837825,1.35135
False,piano,50,67,1.35135,1.4189175
True,piano,50,31,1.35135,1.486485
False,piano,50,62,1.4189175,1.486485
False,piano,50,59,1.486485,1.5540525
True,piano,50,43,1.486485,1.62162
False,piano,50,54,1.5540525,1.62162
False,piano,50,55,1.62162,1.6891875
True,piano,50,31,1.62162,1.756755
False,piano,50,59,1.6891875,1.756755
False,piano,50,62,1.756755,1.8243225
True,piano,50,43,1.756755,1.89189
False,piano,50,66,1.8243225,1.89189
False,piano,50,67,1.89189,1.9594575
True,piano,50,31,1.89189,2.027025
False,piano,50,62,1.9594575,2.027025
False,piano,50,59,2.027025,2.0945925
True,piano,50,43,2.027025,2.16216
False,piano,50,54,2.0945925,2.16216
False,piano,50,55,2.16216,2.2297275
True,piano,50,31,2.16216,2.297295
False,piano,50,59,2.2297275,2.297295
False,piano,50,62,2.297295,2.3648625
True,piano,50,43,2.297295,2.43243
False,piano,50,66,2.3648625,2.43243
False,piano,50,67,2.43243,2.4999975
True,piano,50,31,2.43243,2.567565
False,piano,50,62,2.4999975,2.567565
False,piano,50,59,2.567565,2.6351325
True,piano,50,43,2.567565,2.7027
False,piano,50,54,2.6351325,2.7027
False,piano,50,55,2.7027,2.7702675
True,piano,50,31,2.7027,2.837835
False,piano,50,59,2.7702675,2.837835
False,piano,50,62,2.837835,2.9054025
True,piano,50,43,2.837835,2.97297
False,piano,50,66,2.9054025,2.97297
False,piano,50,67,2.97297,3.0405375
True,piano,50,31,2.97297,3.108105
False,piano,50,62,3.0405375,3.108105
False,piano,50,59,3.108105,3.1756725
True,piano,50,43,3.108105,3.24324
False,piano,50,54,3.1756725,3.24324
False,piano,50,55,3.24324,3.3108075
True,piano,50,31,3.24324,3.378375
False,piano,50,59,3.3108075,3.378375
False,piano,50,62,3.378375,3.4459425
True,piano,50,43,3.378375,3.51351
False,piano,50,66,3.4459425,3.51351
False,piano,50,67,3.51351,3.5810775
True,piano,50,31,3.51351,3.648645
False,piano,50,62,3.5810775,3.648645
False,piano,50,59,3.648645,3.7162125
True,piano,50,43,3.648645,3.78378
False,piano,50,54,3.7162125,3.78378
False,piano,50,55,3.78378,3.8513475
True,piano,50,31,3.78378,3.918915
False,piano,50,59,3.8513475,3.918915
False,piano,50,62,3.918915,3.9864825
True,piano,50,43,3.918915,4.05405
False,piano,50,66,3.9864825,4.05405
False,piano,50,67,4.05405,4.1216175
True,piano,50,31,4.05405,4.189185
False,piano,50,69,4.1216175,4.189185
False,piano,50,66,4.189185,4.2567525
True,piano,50,43,4.189185,4.32432
