user_played, instrument_name, velocity, pitch, start (s), end (s)
False,violin,50,72,3.5,3.625
False,violin,60,74,3.625,3.75
False,violin,70,75,3.75,3.875
False,violin,80,77,3.875,4.0
False,violin,100,79,4.0,6.0
False,xylophone,100,72,4.0,4.25
False,xylophone,80,64,4.0,6.0
False,xylophone,80,60,4.0,6.0
False,organ,100,68,4.0,6.0
False,organ,100,63,4.0,6.0
False,organ,100,60,4.0,6.0
False,guitar-electric,100,32,4.0,6.0
False,guitar-electric,100,44,4.0,6.0
False,guitar-electric,80,60,4.0,6.0
False,guitar-electric,100,39,4.0,6.0
False,xylophone,70,72,4.25,4.5
False,xylophone,60,72,4.5,4.75
False,xylophone,50,72,4.75,5.0
False,xylophone,40,72,5.0,5.25
False,xylophone,30,72,5.25,5.5
False,xylophone,20,72,5.5,5.75
False,xylophone,10,72,5.75,6.0
False,xylophone,100,62,6.0,6.25
False,xylophone,80,54,6.0,8.0
False,xylophone,80,57,6.0,8.0
False,organ,100,65,6.0,8.0
False,organ,100,62,6.0,8.0
False,organ,100,58,6.0,8.0
False,guitar-electric,100,46,6.0,8.0
False,guitar-electric,100,34,6.0,8.0
False,guitar-electric,80,62,6.0,8.0
False,guitar-electric,100,41,6.0,8.0
False,violin,100,77,6.25,6.375
False,xylophone,70,62,6.25,6.5
False,violin,100,75,6.375,6.5
False,violin,100,74,6.5,6.666666666666667
False,xylophone,60,62,6.5,6.75
False,violin,100,70,6.666666666666667,6.833333333333333
False,xylophone,50,62,6.75,7.0
False,violin,100,65,6.833333333333333,7.0
False,violin,100,67,7.0,7.25
False,xylophone,40,62,7.0,7.25
False,violin,100,68,7.25,7.5
False,xylophone,30,62,7.25,7.5
False,violin,100,70,7.5,7.75
False,xylophone,20,62,7.5,7.75
False,violin,100,75,7.75,8.0
False,xylophone,10,62,7.75,8.0
False,violin,100,74,8.0,8.375
False,xylophone,100,63,8.0,8.25
False,xylophone,80,55,8.0,10.0
False,xylophone,80,51,8.0,10.0
False,organ,100,67,8.0,10.0
False,organ,100,63,8.0,10.0
False,organ,100,60,8.0,10.0
False,guitar-electric,100,48,8.0,10.0
False,guitar-electric,100,36,8.0,10.0
False,guitar-electric,80,63,8.0,10.0
False,guitar-electric,100,43,8.0,10.0
False,xylophone,70,63,8.25,8.5
False,violin,100,72,8.375,8.75
False,xylophone,60,63,8.5,8.75
False,violin,100,67,8.75,11.0
False,xylophone,50,63,8.75,9.0
False,xylophone,40,63,9.0,9.25
