user_played, instrument_name, velocity, pitch, start (s), end (s)
True,violin,80,62,0.0,0.68087053125
False,piano,80,43,0.0,0.22632553125000002
False,piano,96,50,0.22727250000000002,0.33996178125000004
False,piano,96,55,0.22727250000000002,0.33996178125000004
False,piano,96,58,0.22727250000000002,0.33996178125000004
False,piano,96,38,0.45454500000000003,0.68087053125
True,violin,96,67,0.6818175,0.9081430312500001
False,piano,96,50,0.6818175,0.79450678125
False,piano,96,55,0.6818175,0.79450678125
False,piano,96,58,0.6818175,0.79450678125
True,violin,96,70,0.9090900000000001,1.58996053125
False,piano,96,43,0.9090900000000001,1.13541553125
False,piano,96,50,1.1363625000000002,1.24905178125
False,piano,96,55,1.1363625000000002,1.24905178125
False,piano,96,58,1.1363625000000002,1.24905178125
False,piano,96,38,1.363635,1.58996053125
True,violin,96,67,1.5909075000000001,1.81723303125
False,piano,96,50,1.5909075000000001,1.70359678125
False,piano,96,55,1.5909075000000001,1.70359678125
False,piano,96,58,1.5909075000000001,1.70359678125
True,violin,96,66,1.8181800000000001,2.49905053125
False,piano,96,43,1.8181800000000001,2.04450553125
False,piano,96,51,2.0454525,2.4763232812500005
False,piano,96,55,2.0454525,2.4763232812500005
False,piano,96,60,2.0454525,2.4763232812500005
False,piano,96,36,2.2727250000000003,2.49905053125
True,violin,96,67,2.4999975,2.61268678125
False,piano,96,51,2.4999975,2.71495940625
False,piano,96,55,2.4999975,2.71495940625
False,piano,96,60,2.4999975,2.71495940625
True,violin,96,69,2.61363375,2.7263230312499998
True,violin,96,67,2.72727,3.63541303125
False,piano,96,43,2.72727,2.95359553125
False,piano,96,50,2.9545425,3.0672317812500003
False,piano,96,55,2.9545425,3.0672317812500003
False,piano,96,58,2.9545425,3.0672317812500003
False,piano,96,38,3.1818150000000003,3.40814053125
False,piano,96,50,3.4090875,3.52177678125
False,piano,96,55,3.4090875,3.52177678125
False,piano,96,58,3.4090875,3.52177678125
True,violin,80,60,3.6363600000000003,4.31723053125
True,violin,80,63,3.6363600000000003,4.31723053125
False,piano,96,43,3.6363600000000003,3.86268553125
False,piano,96,48,3.8636325,4.29450328125
False,piano,96,51,3.8636325,4.29450328125
False,piano,96,55,3.8636325,4.29450328125
False,piano,96,36,4.090905,4.31723053125
True,violin,96,62,4.3181775,4.430866781250001
