user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,112,62,0.0,0.07356770833333333
True,piano,112,63,0.078125,0.15169270833333334
True,piano,112,65,0.15625,0.22981770833333334
True,piano,112,66,0.234375,0.3079427083333333
True,piano,112,67,0.3125,0.4602864583333333
False,piano,112,39,0.3125,0.6087239583333334
False,piano,112,51,0.3125,0.6087239583333334
True,piano,112,67,0.46875,0.6165364583333334
True,piano,112,65,0.625,0.7727864583333334
False,piano,112,55,0.625,0.8743489583333334
False,piano,112,58,0.625,0.8743489583333334
False,piano,112,63,0.625,0.8743489583333334
True,piano,112,65,0.78125,0.9290364583333334
True,piano,112,75,0.9375,1.0852864583333333
False,piano,112,55,0.9375,1.1868489583333333
False,piano,112,58,0.9375,1.1868489583333333
False,piano,112,63,0.9375,1.1868489583333333
True,piano,112,75,1.09375,1.2415364583333333
True,piano,112,74,1.25,1.3977864583333333
False,piano,112,55,1.25,1.3743489583333333
False,piano,112,58,1.25,1.3743489583333333
False,piano,112,63,1.25,1.3743489583333333
True,piano,112,74,1.40625,1.4798177083333333
False,piano,112,51,1.40625,1.5540364583333333
True,piano,112,74,1.484375,1.5579427083333333
True,piano,112,74,1.5625,1.7102864583333333
False,piano,112,41,1.5625,1.8587239583333333
False,piano,112,53,1.5625,1.8587239583333333
True,piano,112,74,1.71875,1.8665364583333333
True,piano,112,70,1.875,2.0227864583333335
False,piano,112,53,1.875,2.1243489583333335
False,piano,112,56,1.875,2.1243489583333335
False,piano,112,60,1.875,2.1243489583333335
True,piano,112,70,2.03125,2.1790364583333335
True,piano,112,70,2.1875,2.3352864583333335
False,piano,112,53,2.1875,2.4368489583333335
False,piano,112,56,2.1875,2.4368489583333335
False,piano,112,60,2.1875,2.4368489583333335
True,piano,112,70,2.34375,2.4915364583333335
True,piano,112,70,2.5,2.6477864583333335
False,piano,112,53,2.5,2.6243489583333335
False,piano,112,56,2.5,2.6243489583333335
False,piano,112,60,2.5,2.6243489583333335
True,piano,112,70,2.65625,2.7298177083333335
False,piano,112,53,2.65625,2.8040364583333335
True,piano,112,70,2.734375,2.8079427083333335
True,piano,112,70,2.8125,2.9602864583333335
False,piano,112,43,2.8125,3.1087239583333335
False,piano,112,55,2.8125,3.1087239583333335
True,piano,112,70,2.96875,3.1165364583333335
True,piano,112,68,3.125,3.2727864583333335
False,piano,112,55,3.125,3.3743489583333335
False,piano,112,58,3.125,3.3743489583333335
False,piano,112,62,3.125,3.3743489583333335
True,piano,112,68,3.28125,3.4290364583333335
True,piano,112,79,3.4375,3.5852864583333335
False,piano,112,55,3.4375,3.6868489583333335
False,piano,112,58,3.4375,3.6868489583333335
False,piano,112,62,3.4375,3.6868489583333335
True,piano,112,79,3.59375,3.7415364583333335
True,piano,112,77,3.75,3.8977864583333335
False,piano,112,55,3.75,3.8743489583333335
False,piano,112,58,3.75,3.8743489583333335
False,piano,112,62,3.75,3.8743489583333335
True,piano,112,77,3.90625,3.9798177083333335
False,piano,112,43,3.90625,4.054036458333333
True,piano,112,77,3.984375,4.057942708333333
True,piano,112,77,4.0625,4.210286458333333
False,piano,112,36,4.0625,4.358723958333333
False,piano,112,48,4.0625,4.358723958333333
True,piano,112,77,4.21875,4.366536458333333
True,piano,112,72,4.375,4.522786458333333
False,piano,112,55,4.375,4.624348958333333
False,piano,112,60,4.375,4.624348958333333
False,piano,112,63,4.375,4.624348958333333
True,piano,112,72,4.53125,4.679036458333333
True,piano,112,72,4.6875,4.835286458333333
False,piano,112,55,4.6875,4.936848958333333
False,piano,112,60,4.6875,4.936848958333333
False,piano,112,63,4.6875,4.936848958333333
True,piano,112,72,4.84375,4.991536458333333
True,piano,112,72,5.0,5.147786458333333
False,piano,112,55,5.0,5.124348958333333
False,piano,112,60,5.0,5.124348958333333
False,piano,112,63,5.0,5.124348958333333
True,piano,112,72,5.15625,5.229817708333333
False,piano,112,46,5.15625,5.304036458333333
True,piano,112,72,5.234375,5.307942708333333
True,piano,112,72,5.3125,5.460286458333333
False,piano,112,32,5.3125,5.608723958333333
False,piano,112,44,5.3125,5.608723958333333
True,piano,112,72,5.46875,5.616536458333333
True,piano,112,70,5.625,5.772786458333333
False,piano,112,51,5.625,5.874348958333333
