user_played, instrument_name, velocity, pitch, start (s), end (s)
True,violin,80,67,0.0,0.899375
False,piano,80,43,0.0,0.854375
False,piano,80,59,0.3,0.584375
False,piano,80,62,0.3,0.584375
False,piano,80,59,0.6,0.884375
False,piano,80,62,0.6,0.884375
True,violin,80,66,0.9,1.799375
False,piano,80,38,0.9,1.754375
False,piano,80,59,1.2,1.484375
False,piano,80,62,1.2,1.484375
False,piano,80,59,1.5,1.784375
False,piano,80,62,1.5,1.784375
True,violin,80,67,1.8,2.399375
False,piano,80,43,1.8,2.654375
False,piano,80,59,2.1,2.384375
False,piano,80,62,2.1,2.384375
True,violin,80,64,2.4,2.699375
False,piano,80,59,2.4,2.684375
False,piano,80,62,2.4,2.684375
True,violin,80,66,2.7,2.999375
False,piano,80,38,2.7,3.554375
True,violin,80,67,3.0,3.299375
False,piano,80,59,3.0,3.284375
False,piano,80,62,3.0,3.284375
True,violin,80,64,3.3,3.599375
False,piano,80,59,3.3,3.584375
False,piano,80,62,3.3,3.584375
True,violin,80,66,3.6,4.199375
False,piano,80,45,3.6,4.454375
False,piano,80,60,3.9,4.184375
False,piano,80,62,3.9,4.184375
True,violin,80,69,4.2,4.499375
False,piano,80,60,4.2,4.484375
False,piano,80,62,4.2,4.484375
True,violin,80,71,4.5,5.099375
False,piano,80,42,4.5,5.354375
False,piano,80,60,4.8,5.084375
False,piano,80,62,4.8,5.084375
True,violin,80,68,5.1,5.399375
False,piano,80,60,5.1,5.384375
False,piano,80,62,5.1,5.384375
True,violin,80,69,5.4,7.199375
False,piano,80,41,5.4,6.254375
False,piano,80,60,5.7,5.984375
False,piano,80,62,5.7,5.984375
False,piano,80,60,6.0,6.284375
False,piano,80,62,6.0,6.284375
False,piano,80,42,6.3,7.154375
False,piano,80,60,6.6,6.884375
False,piano,80,62,6.6,6.884375
False,piano,80,60,6.9,7.184375
False,piano,80,62,6.9,7.184375
True,violin,80,74,7.2,8.099375
False,piano,80,38,7.2,8.054375
False,piano,80,66,7.5,7.784375
False,piano,80,69,7.5,7.784375
False,piano,80,66,7.8,8.084375
False,piano,80,69,7.8,8.084375
True,violin,80,73,8.1,8.999375
False,piano,80,40,8.1,8.954375
False,piano,80,64,8.4,8.684375
False,piano,80,69,8.4,8.684375
False,piano,80,64,8.7,8.984375
False,piano,80,69,8.7,8.984375
True,violin,80,72,9.0,9.599375
False,piano,80,41,9.0,9.854375
False,piano,80,63,9.3,9.584375
False,piano,80,69,9.3,9.584375
True,violin,80,69,9.6,9.899375
False,piano,80,63,9.6,9.884375
False,piano,80,69,9.6,9.884375
True,violin,80,72,9.9,10.199375
False,piano,80,42,9.9,10.754375
True,violin,80,71,10.2,10.499375
False,piano,80,60,10.2,10.484375
False,piano,80,62,10.2,10.484375
False,piano,80,69,10.2,10.484375
True,violin,80,69,10.5,10.799375
False,piano,80,60,10.5,10.784375
False,piano,80,62,10.5,10.784375
False,piano,80,69,10.5,10.784375
True,violin,80,76,10.8,11.399375
False,piano,80,43,10.8,11.654375
False,piano,80,62,11.1,11.384375
False,piano,80,67,11.1,11.384375
False,piano,80,71,11.1,11.384375
True,violin,80,74,11.4,11.699375
False,piano,80,62,11.4,11.684375
False,piano,80,67,11.4,11.684375
False,piano,80,71,11.4,11.684375
True,violin,80,72,11.7,12.299375
False,piano,80,38,11.7,12.554375
False,piano,80,62,12.0,12.284375
False,piano,80,67,12.0,12.284375
True,violin,80,71,12.3,12.599375
False,piano,80,62,12.3,12.584375
False,piano,80,67,12.3,12.584375
True,violin,80,71,12.6,12.899375
False,piano,80,42,12.6,13.454375
True,violin,80,69,12.9,13.199375
False,piano,80,60,12.9,13.184375
False,piano,80,62,12.9,13.184375
False,piano,80,69,12.9,13.184375
True,violin,80,68,13.2,13.499375
False,piano,80,60,13.2,13.484375
False,piano,80,62,13.2,13.484375
False,piano,80,69,13.2,13.484375
True,violin,80,69,13.5,13.799375
False,piano,80,38,13.5,14.354375
True,violin,80,64,13.8,14.099375
False,piano,80,62,13.8,14.084375
False,piano,80,69,13.8,14.084375
False,piano,80,72,13.8,14.084375
True,violin,80,66,14.1,14.399375
False,piano,80,62,14.1,14.384375
False,piano,80,69,14.1,14.384375
False,piano,80,72,14.1,14.384375
True,violin,80,67,14.4,15.299375
False,piano,80,43,14.4,15.254375
False,piano,80,59,14.7,14.984375
False,piano,80,62,14.7,14.984375
False,piano,80,59,15.0,15.284375
False,piano,80,62,15.0,15.284375
True,violin,80,66,15.3,16.199375
False,piano,80,38,15.3,16.154375
False,piano,80,59,15.6,15.884375
False,piano,80,62,15.6,15.884375
False,piano,80,59,15.9,16.184375
False,piano,80,62,15.9,16.184375
True,violin,80,67,16.2,16.799375
False,piano,80,43,16.2,17.054375
