user_played, instrument_name, velocity, pitch, start (s), end (s)
False,guitar-electric,80,60,0.0,0.075
False,guitar-electric,80,63,0.0,0.15
False,bass-electric,80,36,0.0,0.3
False,contrabass,80,67,0.0,0.3
False,contrabass,80,63,0.0,0.3
False,contrabass,80,60,0.0,0.3
False,contrabass,80,48,0.0,0.3
False,piano,80,63,0.0,0.15
False,piano,80,60,0.0,0.075
False,guitar-electric,80,55,0.075,0.15
False,piano,80,55,0.075,0.15
False,guitar-electric,80,62,0.15,0.225
False,guitar-electric,80,65,0.15,0.3
False,piano,80,65,0.15,0.3
False,piano,80,62,0.15,0.225
False,guitar-electric,80,55,0.225,0.3
False,piano,80,55,0.225,0.3
False,guitar-electric,80,63,0.3,0.375
False,guitar-electric,80,67,0.3,0.45
False,piano,80,67,0.3,0.45
False,piano,80,63,0.3,0.375
False,guitar-electric,80,55,0.375,0.45
False,piano,80,55,0.375,0.45
False,guitar-electric,80,60,0.45,0.525
False,guitar-electric,80,63,0.45,0.6
False,piano,80,63,0.45,0.6
False,piano,80,60,0.45,0.525
False,guitar-electric,80,55,0.525,0.6
False,piano,80,55,0.525,0.6
False,guitar-electric,80,62,0.6,0.675
False,guitar-electric,80,65,0.6,0.75
False,piano,80,65,0.6,0.75
False,piano,80,62,0.6,0.675
False,guitar-electric,80,55,0.675,0.75
False,piano,80,55,0.675,0.75
False,guitar-electric,80,63,0.75,0.825
False,guitar-electric,80,67,0.75,0.9
False,piano,80,67,0.75,0.9
False,piano,80,63,0.75,0.825
False,guitar-electric,80,55,0.825,0.9
False,piano,80,55,0.825,0.9
False,guitar-electric,80,65,0.9,0.975
False,guitar-electric,80,68,0.9,1.05
False,piano,80,68,0.9,1.05
False,piano,80,65,0.9,0.975
False,guitar-electric,80,55,0.975,1.05
False,piano,80,55,0.975,1.05
False,guitar-electric,80,62,1.05,1.125
False,guitar-electric,80,65,1.05,1.2
False,piano,80,65,1.05,1.2
False,piano,80,62,1.05,1.125
False,guitar-electric,80,55,1.125,1.2
False,piano,80,55,1.125,1.2
False,guitar-electric,80,70,1.2,1.275
False,guitar-electric,80,67,1.2,1.35
False,piano,80,67,1.2,1.35
False,piano,80,70,1.2,1.275
False,guitar-electric,80,55,1.275,1.35
False,piano,80,55,1.275,1.35
False,guitar-electric,80,67,1.35,1.425
False,guitar-electric,80,63,1.35,1.5
False,piano,80,63,1.35,1.5
False,piano,80,67,1.35,1.425
False,guitar-electric,80,55,1.425,1.5
False,piano,80,55,1.425,1.5
False,guitar-electric,80,68,1.5,1.575
False,guitar-electric,80,65,1.5,1.65
False,piano,80,65,1.5,1.65
False,piano,80,68,1.5,1.575
False,guitar-electric,80,55,1.575,1.65
False,piano,80,55,1.575,1.65
False,guitar-electric,80,65,1.65,1.725
False,guitar-electric,80,62,1.65,1.8
False,piano,80,62,1.65,1.8
False,piano,80,65,1.65,1.725
False,guitar-electric,80,55,1.725,1.8
False,piano,80,55,1.725,1.8
False,guitar-electric,80,67,1.8,1.875
False,guitar-electric,80,63,1.8,1.95
False,piano,80,63,1.8,1.95
